Region,Regions-ID,KV,Kreistyp,Wert,Bundeswert
Kleve,5154,NO,Verdichtetes Umland,3.35,3.11
Calw,8235,BW,Verdichtetes Umland,3.35,3.11
Bautzen,14625,SN,Ländliches Umland,3.35,3.11
Oberhausen,5119,NO,Kernstädte,3.33,3.11
Vogelsbergkreis,6535,HE,Ländlicher Raum,3.33,3.11
Coburg,9463,BY,Ländliches Umland,3.33,3.11
Lk.Osnabrück,3459,NI,Ländliches Umland,3.32,3.11
Remscheid,5120,NO,Kernstädte,3.31,3.11
Landshut,9261,BY,Ländliches Umland,3.31,3.11
Fürth,9563,BY,Kernstädte,3.31,3.11
Dessau-Roßlau,15001,ST,Verdichtetes Umland,3.31,3.11
Kaufbeuren,9762,BY,Ländlicher Raum,3.3,3.11
Fulda,6631,HE,Ländliches Umland,3.29,3.11
Deggendorf,9271,BY,Ländlicher Raum,3.29,3.11
Bad Tölz-Wolfratshausen,9173,BY,Ländlicher Raum,3.29,3.11
Trier-Saarburg,7235,RP,Ländliches Umland,3.28,3.11
Lk.Regensburg,9375,BY,Ländliches Umland,3.28,3.11
Erlangen-Höchstadt,9572,BY,Verdichtetes Umland,3.28,3.11
Gera,16052,TH,Verdichtetes Umland,3.27,3.11
Höxter,5762,WL,Ländliches Umland,3.26,3.11
Ludwigshafen,7314,RP,Kernstädte,3.25,3.11
Main-Spessart,9677,BY,Ländlicher Raum,3.24,3.11
Weiden,9363,BY,Ländlicher Raum,3.24,3.11
Uckermark,12073,BB,Ländlicher Raum,3.24,3.11
Bremerhaven,4012,HB,Kernstädte,3.23,3.11
Eichstätt,9176,BY,Ländliches Umland,3.23,3.11
Mühldorf,9183,BY,Ländliches Umland,3.23,3.11
Waldeck-Frankenberg,6635,HE,Ländlicher Raum,3.22,3.11
Kempten,9763,BY,Ländlicher Raum,3.22,3.11
Hersfeld-Rotenburg,6632,HE,Ländlicher Raum,3.21,3.11
Pfaffenhofen,9186,BY,Ländliches Umland,3.2,3.11
Oberbergischer Kreis,5374,NO,Verdichtetes Umland,3.19,3.11
Schweinfurt,9662,BY,Ländliches Umland,3.19,3.11
Nordwestmecklenburg,13074,MV,Ländliches Umland,3.19,3.11
Teltow-Fläming,12072,BB,Ländlicher Raum,3.19,3.11
Sächsische Schweiz-Osterzgebirge,14628,SN,Ländliches Umland,3.18,3.11
Freudenstadt,8237,BW,Ländliches Umland,3.17,3.11
Lk.Rosenheim,9187,BY,Verdichtetes Umland,3.15,3.11
