CountyID,DiseaseR,NO,NO2,NOx,O3,PM1
16072,8.7,473.0,615.0,451.0,6771.0,1188.0
16073,8.3,3000.0,2878.0,2668.0,3889.0,3993.0
3405,7.7,1854.0,1801.0,1708.0,4805.0,3346.0
16062,7.7,3780.0,3518.0,3125.0,3687.0,3920.0
16054,7.5,3865.5,3255.5,3413.5,7140.0,3025.5
3453,7.4,2483.0,2875.0,2709.0,4252.0,4492.0
3102,7.3,3455.0,3723.0,3575.0,3920.0,3782.0
6636,7.3,250.0,437.0,329.0,5789.0,2648.0
5124,7.2,6533.0,7307.0,7149.0,2961.0,5446.0
5116,7.2,6369.5,6209.5,6427.0,2819.0,5302.333333333333
5122,7.2,6378.5,6718.5,6572.5,3962.0,5579.5
16077,7.2,4297.0,4286.0,3857.0,3895.0,4056.0
3360,7.1,435.0,708.0,547.0,4666.0,2782.0
5970,7.1,391.0,572.0,372.0,6394.0,2333.0
3155,7.0,317.0,918.0,677.0,4560.0,2843.0
1054,6.9,551.0,613.0,548.0,6304.0,3182.0
3452,6.8,689.0,1310.0,1104.0,6382.0,4154.0
5913,6.8,7523.666666666667,7760.0,7759.666666666667,3028.0,6081.666666666667
5316,6.8,6309.5,7328.0,7105.0,2553.0,5239.0
6633,6.8,426.0,1067.0,836.0,5565.0,2805.0
7232,6.8,1191.3333333333333,1875.3333333333333,1565.6666666666667,4849.333333333333,3005.3333333333335
16051,6.8,4492.666666666667,4885.0,4479.0,3973.0,4065.6666666666665
14713,6.8,6688.0,6352.666666666667,6548.333333333333,3753.5,5177.0
3454,6.7,2162.0,3243.0,2964.0,4089.0,4116.0
3241,6.7,5386.0,6156.0,6042.5,3986.0,4776.0
7336,6.7,545.0,746.0,696.0,6066.0,2528.0
16066,6.7,2230.5,2062.0,1882.0,4885.5,2535.0
6534,6.6,6344.0,6503.5,6537.5,3199.0,5148.0
7340,6.6,175.0,454.0,374.0,6837.0,1919.0
9761,6.6,6288.25,6065.5,6197.75,3932.5,4547.5
14511,6.6,5310.0,5095.0,5224.0,4445.0,5472.0
3358,6.5,1732.0,2307.0,2105.0,3850.0,4220.0
5158,6.5,4251.0,6243.0,5825.0,2946.0,4824.0
6532,6.5,6842.0,6585.0,6743.0,2576.0,5939.0
6431,6.5,509.0,982.0,772.0,6027.0,3952.0
7315,6.5,6843.2,7082.0,7159.4,3336.0,5267.333333333333
14612,6.5,6396.666666666667,6349.0,6552.0,3623.0,5567.666666666667
1061,6.4,8156.0,7648.0,8091.0,4510.0,4265.0
3402,6.4,3373.0,3349.0,3220.0,4889.0,3906.0
5978,6.4,4187.0,5485.333333333333,5101.333333333333,3155.0,4233.5
5113,6.4,6772.5,7349.5,7197.5,2663.0,6131.333333333333
6611,6.4,6652.0,6472.0,6569.0,3615.0,5722.5
7138,6.4,5906.0,6007.5,6164.5,2918.0,5305.5
12065,6.4,148.0,243.0,173.0,4178.0,2512.0
5515,6.3,5712.5,6145.5,5943.5,3384.0,5800.5
5362,6.3,4129.0,4364.0,4086.0,3585.0,4890.0
5315,6.3,6837.75,7310.25,7239.5,2666.0,5943.25
