CountyID,DiseaseRFeat,NO,NO2,PM1
7134,False,13.0,58.0,577.0
7211,False,2548.0,2186.5,2520.0
12063,False,170.0,251.0,2281.0
15003,False,2686.333333333333,2581.6666666666665,2914.333333333333
15088,False,276.0,444.0,1917.0
15001,False,1691.0,880.0,2251.0
12061,False,584.5,596.5,1985.5
12062,False,326.0,409.0,2571.0
9171,False,1880.0,1573.0,2049.0
9462,False,3834.0,2835.0,2654.0
13075,False,9.0,10.0,2104.0
12073,False,120.0,114.0,1831.0
14522,False,1282.0,850.0,1063.0
14625,False,570.0,568.0,1708.0
6411,False,3493.0,3839.5,2763.0
8311,False,3913.0,3737.0,1619.0
8212,False,3269.5,3409.5,2248.0
8115,False,3275.5,3096.5,1446.0
9273,False,2318.0,1311.0,2316.0
9161,False,1910.0,2151.0,2455.0
9477,False,1383.0,1364.0,2009.0
14521,False,1761.0,1140.0,900.0
14626,False,1809.666666666667,719.0,1976.0
14524,False,2305.5,1682.5,2036.0
8211,False,900.0,1020.0,1608.0
9775,False,2440.0,3230.0,2187.0
15085,False,186.25,233.25,1469.333333333333
8315,False,475.0,668.5,1054.5
8111,False,6265.75,6503.0,2220.0
8336,False,524.0,1029.0,1849.0
8335,False,888.0,1579.0,1916.0
9188,False,75.0,182.0,1202.0
9561,False,4303.0,3685.0,2646.0
13072,False,68.66666666666667,125.0,1812.0
15091,False,2518.5,1695.5,2513.0
16055,False,1628.0,1440.0,1623.5
8435,False,1095.0,1795.0,1666.0
8326,False,846.0,586.0,1576.0
9262,False,4116.0,3562.0,2466.0
12071,False,122.0,131.0,2631.0
15089,False,2633.5,1803.0,2581.0
8421,False,1683.0,2531.0,2452.0
9776,False,1787.0,2003.0,1830.0
9189,False,1464.0,1103.0,1548.0
15081,False,11.0,76.0,1328.0
8116,False,2395.0,2696.0,2681.0
8317,False,1351.0,2125.0,2372.0
9187,False,4966.0,4193.0,2385.0
13076,False,12.0,5.0,2273.0
13073,False,661.0,362.0,1683.333333333333
12053,False,2649.0,1973.5,2875.0
8416,False,4379.0,3780.5,1372.0
12070,False,46.0,112.0,2004.0
16064,False,2439.0,1643.5,2367.5
8136,False,1316.0,1511.0,1795.0
8415,False,3325.0,3258.666666666666,1352.5
13071,False,676.0,529.0,1997.5
8426,False,1028.0,1036.0,1733.0
8127,False,1287.0,1254.0,2053.0
