CountyID,DiseaseR,NO,NO2,NOx,O3,PM1
16072,8.7,22.0,40.0,16.0,3621.0,280.0
16073,8.3,931.0,698.0,816.0,2019.0,1491.0
3405,7.7,166.0,336.0,191.0,2216.0,1573.0
16062,7.7,1039.0,1036.0,1044.0,1719.0,1712.0
16054,7.5,2404.5,1563.0,2083.5,4149.0,1107.0
3453,7.4,352.0,525.0,397.0,1944.0,2551.0
3102,7.3,410.0,729.0,462.0,1518.0,1741.0
6636,7.3,23.0,90.0,44.0,3016.0,1125.0
5124,7.2,4279.0,4724.0,4496.5,1255.0,2742.5
5116,7.2,2933.0,3043.5,2939.5,1153.0,2884.6666666666665
5122,7.2,3808.5,3818.0,3808.5,1853.0,2601.5
16077,7.2,1022.0,1092.0,1011.0,1863.0,1748.0
3360,7.1,17.0,114.0,32.0,2235.0,1088.0
5970,7.1,50.0,109.0,55.0,3319.0,809.0
3155,7.0,53.0,120.0,72.0,1809.0,1140.0
1054,6.9,15.0,108.0,33.0,4100.0,1014.0
3452,6.8,45.0,229.0,76.0,3981.0,1842.0
5913,6.8,4611.666666666667,5083.666666666667,4914.333333333333,1293.0,3327.6666666666665
5316,6.8,3847.0,4489.5,4159.0,1165.0,2542.0
6633,6.8,28.0,232.0,91.0,2494.0,986.0
7232,6.8,343.3333333333333,478.3333333333333,365.0,2364.3333333333335,1311.6666666666667
16051,6.8,2354.3333333333335,2243.0,2311.3333333333335,1852.5,1905.0
14713,6.8,4536.0,3802.3333333333335,4287.666666666667,1731.5,2634.0
3454,6.7,339.0,681.0,413.0,1876.0,2189.0
3241,6.7,3334.0,3598.5,3434.5,1693.0,2466.5
7336,6.7,32.0,141.0,62.0,3263.0,1041.0
16066,6.7,662.5,615.0,640.5,2595.5,889.5
6534,6.6,3581.0,3465.5,3589.5,1743.0,2616.0
7340,6.6,20.0,55.0,31.0,3873.0,725.0
9761,6.6,3003.25,3251.5,3165.25,2063.0,2288.25
14511,6.6,3083.0,2761.5,2984.0,2204.0,2497.0
3358,6.5,352.0,367.0,324.0,1793.0,2179.0
5158,6.5,1432.0,2974.0,2040.0,1319.0,2238.0
6532,6.5,3578.0,3182.0,3552.0,1114.0,3291.0
6431,6.5,69.0,130.0,67.0,3213.0,1724.5
7315,6.5,4525.2,4776.8,4761.2,1621.0,2957.3333333333335
14612,6.5,4052.6666666666665,3442.6666666666665,3865.6666666666665,1637.0,2592.6666666666665
1061,6.4,6610.0,4855.0,6111.0,1855.0,2174.0
3402,6.4,504.0,835.0,564.0,2495.0,1922.0
5978,6.4,1299.3333333333333,2169.0,1620.0,1430.0,1960.0
5113,6.4,3591.5,4411.5,3976.25,1172.0,3417.0
