CountyID,DiseaseR,NO,NO2,PM1
8212,4.8,5484.0,6099.5,4488.0
8115,4.8,5096.0,5140.0,3560.0
9273,4.8,6988.0,4467.0,4718.0
9161,4.8,4830.0,5169.0,4544.0
9477,4.8,4123.0,4303.0,4400.0
14521,4.8,6379.0,3555.0,2538.5
14626,4.8,3392.0,2613.3333333333335,4109.666666666667
14524,4.8,6568.0,4910.5,4653.5
8211,4.7,2976.0,2970.0,3790.0
9775,4.7,5598.0,6450.0,4589.0
15085,4.7,1077.25,1090.25,3121.3333333333335
8315,4.6,1604.0,1941.0,2602.5
8111,4.6,7681.5,7972.5,4521.0
8336,4.6,2026.0,3510.0,4181.0
8335,4.6,4146.0,4405.0,3995.0
9188,4.6,704.0,532.0,2676.0
9561,4.6,7276.0,6932.0,5228.0
13072,4.6,868.0,971.0,3694.0
15091,4.6,4584.5,3799.5,4613.5
16055,4.6,4023.5,4261.0,3642.5
8435,4.5,3700.0,4771.0,3554.0
8326,4.5,3464.0,2422.0,3346.0
9262,4.5,7641.0,6927.0,4941.0
12071,4.5,1568.0,979.0,4945.0
15089,4.5,6248.5,4317.0,4653.0
8421,4.4,4800.0,6162.0,4925.0
9776,4.4,5979.0,5520.0,3973.0
9189,4.4,3294.0,3340.0,3619.0
15081,4.4,628.0,517.0,2868.0
8116,4.3,6432.0,5422.0,5004.0
8317,4.3,4589.0,5111.0,4544.0
9187,4.3,8044.0,7419.0,4930.0
13076,4.3,385.0,401.0,4582.0
13073,4.3,2031.6666666666667,1293.6666666666667,3708.6666666666665
12053,4.3,4736.0,4425.0,5297.0
8416,4.2,7267.5,6148.5,3203.0
12070,4.2,670.0,936.0,4117.0
16064,4.2,5150.0,3941.5,4449.5
8136,4.1,5217.0,4059.0,4033.0
8415,4.1,4968.333333333333,4624.666666666667,3213.5
13071,4.0,2642.5,2212.0,4341.5
8426,3.7,3259.0,3251.0,3922.0
8127,3.0,3261.0,3940.0,4728.0
