CountyID,DiseaseR,NOmean,NO2mean,PM1mean
16072,8.7,1.4264168763841323,5.4509304556284235,8.207321927101598
16073,8.3,5.232143791982305,13.826341096666095,15.237012796042238
8128,8.0,3.7560616438356162,13.714429223744292,15.323270547945206
6413,7.9,31.14591456507534,37.9759615640468,21.789088912749428
1001,7.7,34.362939155251134,32.012595490867575,18.741247831050227
3405,7.7,1.6108206155251144,10.493029096632421,14.253422947659818
16062,7.7,5.985053974547945,16.09839900482192,16.16690518169863
16054,7.5,14.499264269120149,15.99783189715782,11.942892489306221
3453,7.4,2.4717120156392696,13.408622259646119,18.09428649686073
5162,7.4,4.369601027397261,18.272755194063926,21.31842482876712
3102,7.3,2.955773258561644,16.062558724657535,15.192570745947489
6636,7.3,0.6127074129977169,6.335326729613584,11.837489836715754
5124,7.2,30.91021658105023,36.6625075913242,18.58384751712329
5116,7.2,12.96292979452055,26.50693421803653,19.538939326484016
5122,7.2,23.51157925228311,31.43984700342466,19.013494720319635
10044,7.2,4.678403348554033,15.44454375951294,14.771364726027398
16077,7.2,5.387922178218036,18.082354247425798,15.884286643727743
3360,7.1,0.49434132420091326,6.642415525114155,12.401198630136985
5970,7.1,0.5638836187214612,5.754210216894977,10.75405091324201
5954,7.1,6.604334760273973,19.55963487442922,14.849954452054794
12060,7.1,19.52572402968037,23.23706906392694,20.405557077625573
3155,7.0,0.4923575611301369,8.420499320034248,12.529203685445205
1054,6.9,0.8110633561643835,4.558611301369862,13.1364651826484
5513,6.9,29.314165981735158,36.0145560216895,28.322062899543376
3452,6.8,0.7270318473173516,8.456883020376713,15.496931735216895
5913,6.8,27.036823515981734,38.47764743150685,21.64067654109589
5316,6.8,28.335756621004567,36.26532591324201,17.910629623287672
6633,6.8,0.6792516855445206,8.536713758321918,11.868726007014269
7232,6.8,2.3765895022910963,10.610856365928841,12.657936292613394
16051,6.8,14.401578898800226,22.52687576143893,16.214795282632227
14713,6.8,27.169529166666667,30.91177349695586,19.522484627092847
3454,6.7,2.471896788299087,14.712233674372147,16.613318712614156
3241,6.7,19.028909704851596,31.043948863099317,18.288249928510275
6531,6.7,43.19986975690525,42.16671652506165,22.099382627220322
7336,6.7,1.2367740241877856,7.23572105018379,11.205053738040526
9461,6.7,11.490206124026827,23.706894869522262,18.18766218904452
16066,6.7,5.03059472588984,11.904274725109588,12.005617484385844
6534,6.6,20.489225129748288,28.816354110697493,18.522452326512557
7340,6.6,1.088613386895548,4.988657283591895,9.247640708672945
9761,6.6,16.416493945420804,28.988069535088044,17.91442831694906
10041,6.6,13.946624543378997,24.004049657534246,16.772436643835615
