CountyID,DiseaseR,NO,NO2,PM1
16072,8.7,7.0,21.0,275.0
16073,8.3,747.0,538.0,1456.0
8128,8.0,701.0,511.0,1559.0
6413,7.9,4617.0,4931.0,3215.0
1001,7.7,5491.0,3638.0,2488.0
3405,7.7,114.0,271.0,1542.0
16062,7.7,835.0,874.0,1674.0
16054,7.5,2117.0,1384.5,1076.0
3453,7.4,248.0,415.0,2526.0
5162,7.4,674.0,1344.0,3255.0
3102,7.3,314.0,527.0,1707.0
6636,7.3,13.0,67.0,1105.0
5124,7.2,3991.5,4394.5,2692.0
5116,7.2,2413.5,2665.5,2838.0
5122,7.2,3481.5,3490.0,2554.5
10044,7.2,665.3333333333334,818.3333333333334,1625.0
16077,7.2,741.0,903.0,1715.0
3360,7.1,9.0,91.0,1060.0
5970,7.1,34.0,80.0,791.0
5954,7.1,936.0,1145.0,1759.0
12060,7.1,3756.5,1691.5,2870.0
3155,7.0,30.0,90.0,1106.0
1054,6.9,14.0,76.0,980.0
5513,6.9,3955.0,4497.0,4881.0
3452,6.8,29.0,179.0,1804.0
5913,6.8,4102.0,4697.666666666667,3272.0
5316,6.8,3506.0,4115.0,2495.0
6633,6.8,15.0,199.0,971.0
7232,6.8,282.3333333333333,387.3333333333333,1287.3333333333333
16051,6.8,2079.0,2002.6666666666667,1866.0
14713,6.8,4152.666666666667,3508.3333333333335,2577.3333333333335
3454,6.7,252.0,536.0,2151.0
3241,6.7,3029.0,3309.5,2432.0
6531,6.7,7007.0,6014.0,3553.0
7336,6.7,15.0,110.0,1022.0
9461,6.7,2006.0,1970.0,2528.0
16066,6.7,554.0,515.0,871.0
6534,6.6,3206.5,3102.5,2566.5
7340,6.6,13.0,44.0,707.0
9761,6.6,2596.25,2939.0,2251.5
10041,6.6,2190.6,2028.6,2012.0
14511,6.6,2789.0,2506.0,2452.0
3358,6.5,279.0,299.0,2150.0
5158,6.5,1224.0,2593.0,2197.0
6532,6.5,3208.0,2742.0,3238.0
