CountyID,DiseaseR,NOmean,NO2mean,NOxmean,O3mean,PM1mean
16072,8.7,1.4264168763841323,5.4509304556284235,5.691665559948059,65.06514332970777,8.207321927101598
16073,8.3,5.232143791982305,13.826341096666095,20.04143939082306,44.75603702082705,15.237012796042238
3405,7.7,1.6108206155251144,10.493029096632421,12.952863086929224,51.14173024160959,14.253422947659818
16062,7.7,5.985053974547945,16.09839900482192,23.41874254790468,43.453533981029686,16.16690518169863
16054,7.5,14.499264269120149,15.99783189715782,37.836666085910096,68.52243892694064,11.942892489306221
3453,7.4,2.4717120156392696,13.408622259646119,17.190832593664386,48.21499542317351,18.09428649686073
3102,7.3,2.955773258561644,16.062558724657535,20.580511291267126,46.14782504497717,15.192570745947489
6636,7.3,0.6127074129977169,6.335326729613584,7.075977633869863,60.04839198091324,11.837489836715754
5124,7.2,30.91021658105023,36.6625075913242,83.62388829908676,39.27343652968037,18.58384751712329
5116,7.2,12.96292979452055,26.50693421803653,46.18724392123288,38.35834058219177,19.538939326484016
5122,7.2,23.51157925228311,31.43984700342466,66.76364180936073,47.784038070776255,19.013494720319635
16077,7.2,5.387922178218036,18.082354247425798,24.651919523466894,47.45725797851084,15.884286643727743
3360,7.1,0.49434132420091326,6.642415525114155,7.400239155251142,51.14945376712328,12.401198630136985
5970,7.1,0.5638836187214612,5.754210216894977,5.6913198059360735,63.02775570776256,10.75405091324201
3155,7.0,0.4923575611301369,8.420499320034248,9.131350836986302,50.06711865222603,12.529203685445205
1054,6.9,0.8110633561643835,4.558611301369862,5.7936329908675805,61.5407816780822,13.1364651826484
3452,6.8,0.7270318473173516,8.456883020376713,9.56921527231735,61.49767935690639,15.496931735216895
5913,6.8,27.036823515981734,38.47764743150685,79.71636379375951,39.17227066210045,21.64067654109589
5316,6.8,28.335756621004567,36.26532591324201,79.2669190068493,35.60664377853882,17.910629623287672
6633,6.8,0.6792516855445206,8.536713758321918,9.281839616899543,56.77220689545205,11.868726007014269
7232,6.8,2.3765895022910963,10.610856365928841,13.58478254136701,52.34077362675285,12.657936292613394
16051,6.8,14.401578898800226,22.52687576143893,43.18877988805993,46.228653544714895,16.214795282632227
14713,6.8,27.169529166666667,30.91177349695586,72.42681750380517,45.25179831621005,19.522484627092847
3454,6.7,2.471896788299087,14.712233674372147,18.48708307739726,47.92459866232877,16.613318712614156
3241,6.7,19.028909704851596,31.043948863099317,60.15513168045091,46.6387165597032,18.288249928510275
7336,6.7,1.2367740241877856,7.23572105018379,9.132041736814498,61.60785611231735,11.205053738040526
16066,6.7,5.03059472588984,11.904274725109588,17.77025496709903,52.1620925281113,12.005617484385844
6534,6.6,20.489225129748288,28.816354110697493,60.22248943635617,40.271292290408105,18.522452326512557
7340,6.6,1.088613386895548,4.988657283591895,6.654459232479452,66.74676444875514,9.247640708672945
9761,6.6,16.416493945420804,28.988069535088044,54.13781426346404,45.89908190496318,17.91442831694906
14511,6.6,18.13869785958904,26.021693607305934,53.737628510273964,50.845139326484016,18.61036170091324
3358,6.5,2.1648617209474885,12.427424801769407,15.739999298915524,44.96441191957762,16.77240618173516
5158,6.5,8.47777049086758,26.362810273972602,39.13571581050228,38.5938875,16.868518721461186
6532,6.5,20.467166011671804,27.491571886186644,58.88067471354338,34.83666662296804,21.120423694459475
6431,6.5,0.7910051424714613,8.119518005611301,9.108500750513699,61.8705388224024,15.571921090534817
7315,6.5,29.82738310871141,36.56242761014269,82.30288145683883,40.4254120403339,20.040876982018265
14612,6.5,23.330639611872147,29.357747945205485,65.00696154870624,44.44645321537291,19.829269482496198
1061,6.4,37.659362614155256,34.80848641552511,92.66973961187215,49.019535388127856,16.311419805936072
3402,6.4,3.2802553969178088,15.449597216894977,20.401309055707763,51.63201454674657,15.866343672317349
5978,6.4,7.688446385083714,22.434187271689495,33.46370351978691,39.86685664954338,15.877876997716896
5113,6.4,19.770431150114153,34.05376469748858,63.83292255993151,38.9073924086758,21.767551179604258
6611,6.4,21.62775917977312,30.064764907168666,63.21954070856051,43.55482748274086,21.056535406592467
7138,6.4,15.163803672104736,24.77934228016067,48.029696967141554,37.58580342917237,20.03586071769749
12065,6.4,0.28913470319634704,4.256107876712329,4.699292237442923,47.60916381278539,12.647055936073059
5515,6.3,19.045853624429224,28.546867094748862,57.171635273972605,42.38074474885845,19.51954295091324
5362,6.3,6.413187442922374,19.644158675799087,28.59299805936073,44.62274178082192,16.859606963470316
5315,6.3,34.51326041666667,39.40193220605023,92.14309178082192,36.53930664954338,20.37075874714612
6414,6.3,38.126805890978886,42.47790816755498,100.94306324775266,38.14925278600856,18.436602660267695
9162,6.3,35.629631946858225,41.87076578916348,96.53596197198458,48.16133510264669,21.838656464299376
1003,6.2,9.041365239726026,20.102069463470322,33.871798116438356,49.84310656392694,15.716852111872146
3153,6.2,0.8311857541381279,7.696931623487444,8.947957527283105,60.62501930582191,9.853473676255708
5334,6.2,16.696621423135465,21.5720424086758,46.35799237062405,54.61517026255708,15.507754318873666
6435,6.2,5.131997459537956,17.088173484882994,24.881256833180935,50.95500284195605,16.16094840537671
6533,6.2,14.203367328156393,22.164936387687213,43.935340543375,39.85507161992979,17.09298235498858
7312,6.2,7.732814071988013,20.65769906631336,32.51426711587786,43.09735532312215,15.816176903651828
7314,6.2,21.42333382885845,32.214083564608636,65.07027731259208,43.40202004187157,21.648811271125762
7132,6.2,1.152621613839041,7.513786138099886,9.281077647250001,55.419306172255716,9.824890283074774
12072,6.2,3.610925799086758,15.22156278538813,20.739040525114156,45.302594748858446,20.741854452054795
3404,6.1,23.211601835245432,31.06104885202626,66.57486733453196,44.65375515097032,19.198349856678085
3101,6.1,16.806076559046804,23.958978787271686,49.66834511883562,49.50524406409818,17.491302441409818
6433,6.1,9.89650160292209,22.486980027910388,37.6453917047617,40.627523276057076,17.039716674935505
7317,6.1,6.225605808432078,15.778080544114154,25.323676518102168,52.08036495662671,15.614025997539954
7111,6.1,26.189776536579622,37.339728540134985,77.49598522427455,33.445764571868715,18.42197758986073
12069,6.0,1.3178105022831048,6.5679406392694055,8.581570776255708,47.58833162100457,15.07067922374429
12054,6.0,16.125931934931508,24.11239069634703,48.75282248858447,47.07938470319634,18.908897117579908
12067,6.0,2.1321027397260277,9.208418949771689,12.466277397260274,52.63883904109589,16.982650114155252
3352,5.9,1.602472908105023,11.151664372945206,13.603497256278539,53.115224417465754,14.09705168772831
5117,5.9,9.079494121004565,25.88282642694064,38.94021946347032,38.51673635844748,21.29043778538813
6412,5.9,24.56950602112633,39.711408716593795,77.36670863217655,36.7435497929101,20.581607195937785
6635,5.9,0.7409797254700343,7.711041250574485,8.628897079108162,55.7089103439532,12.666273069579622
9565,5.9,10.411678302872717,21.73406392527169,37.74028904523744,43.52633238604109,17.416738024889842
9663,5.9,39.80881901790982,32.18850708209218,100.61128012681563,42.20901385513755,20.993577706222887
9564,5.9,26.44018425258086,35.198236164096464,75.76776698952854,39.180790747174655,23.12919725256564
